GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Male; Estimate; Population 16 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings,Female; Estimate; Population 16 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),"Total; Estimate; Full-time, year-round workers with earnings","Total; Margin of Error; Full-time, year-round workers with earnings","Male; Estimate; Full-time, year-round workers with earnings","Male; Margin of Error; Full-time, year-round workers with earnings","Female; Estimate; Full-time, year-round workers with earnings","Female; Margin of Error; Full-time, year-round workers with earnings","Total; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Estimate; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Margin of Error; Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Estimate; Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Margin of Error; Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Estimate; Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Margin of Error; Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Estimate; Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Margin of Error; Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Estimate; Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Margin of Error; Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Estimate; Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Margin of Error; Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Estimate; Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Margin of Error; Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Estimate; Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Margin of Error; Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Total; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Male; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Male; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more","Female; Estimate; Full-time, year-round workers with earnings - $100,000 or more","Female; Margin of Error; Full-time, year-round workers with earnings - $100,000 or more",Total; Estimate; Median earnings (dollars),Total; Margin of Error; Median earnings (dollars),Male; Estimate; Median earnings (dollars),Male; Margin of Error; Median earnings (dollars),Female; Estimate; Median earnings (dollars),Female; Margin of Error; Median earnings (dollars),Total; Estimate; Mean earnings (dollars),Total; Margin of Error; Mean earnings (dollars),Male; Estimate; Mean earnings (dollars),Male; Margin of Error; Mean earnings (dollars),Female; Estimate; Mean earnings (dollars),Female; Margin of Error; Mean earnings (dollars),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Male; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Male; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Female; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Female; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months
0400000US01,1,Alabama,2291699,13593,1199733,8878,1091966,9474,26934,288,32399,455,21811,228,1479666,14266,844113,11033,635553,9353,2.1,0.2,1.6,0.2,2.7,0.3,4.8,0.3,3.9,0.4,6.1,0.5,18.5,0.5,14.2,0.6,24.3,0.9,18.5,0.6,16.9,0.8,20.6,0.9,20.6,0.6,19.6,0.8,21.8,1,13.9,0.5,15.5,0.7,11.7,0.7,5.3,0.3,5.8,0.4,4.6,0.5,7.7,0.4,10,0.5,4.6,0.4,8.7,0.3,12.6,0.5,3.6,0.3,(X),(X),44245,1452,32136,373,50337,632,58188,982,39910,634,31507,244,39235,1055,25495,322,17583,978,21600,767,12685,1030,25693,461,31288,390,20461,417,30662,345,38901,1401,24508,721,45874,981,60327,1797,36958,957,55873,1571,76203,3462,50047,880,21.2,(X),(X),(X),(X),(X)
0400000US02,2,Alaska,424923,4472,239575,3160,185348,3550,36843,743,43513,2407,30993,890,254297,5415,152902,4082,101395,3669,1.5,0.3,1,0.3,2.1,0.7,2.2,0.5,2.1,0.7,2.4,0.7,10.6,1,10.9,1.4,10.1,1.8,13.2,1,11,1.3,16.4,1.9,19.1,1.3,16.4,1.5,23.1,1.9,17.6,1.2,17.3,1.7,18.1,1.8,9.1,0.8,10,1.2,7.9,1.1,13.1,1,14.2,1.4,11.6,1.4,13.5,1.1,17.1,1.3,8.2,1.4,(X),(X),57318,2336,46288,1358,62664,1675,68809,2231,53396,1761,45182,1533,52249,1598,37010,1111,26163,4190,36313,5188,19528,5468,35963,1371,42439,2946,28497,2622,41783,1254,50920,1915,33748,2071,56042,1720,66732,3704,47253,4154,71806,2578,85942,7013,63079,4415,19.5,(X),(X),(X),(X),(X)
0400000US04,4,Arizona,3224513,17370,1727569,10803,1496944,13042,29737,499,32283,297,25423,364,2010469,18272,1167889,12730,842580,13002,2.1,0.2,2,0.2,2.2,0.3,4.6,0.3,4.1,0.4,5.3,0.4,15.8,0.5,14.9,0.7,17.2,0.7,17.6,0.5,15.4,0.6,20.6,0.7,21.2,0.5,19.6,0.6,23.3,0.8,13.8,0.4,14.6,0.6,12.7,0.7,5.6,0.3,5.9,0.4,5.1,0.4,8.7,0.3,9.7,0.4,7.2,0.5,10.6,0.3,13.8,0.5,6.2,0.3,(X),(X),43945,1120,36916,359,54393,545,60320,843,46177,630,33957,599,38707,786,30409,256,19554,789,21642,653,15289,694,27120,442,30838,590,22813,983,32971,895,39029,1329,30022,584,46407,855,56823,1828,39144,1460,60458,1155,79239,4946,50041,1313,22,(X),(X),(X),(X),(X)
0400000US05,5,Arkansas,1409231,11997,744586,6989,664645,9246,26367,345,31314,432,21673,400,915298,11911,526909,8157,388389,8285,2.2,0.3,1.6,0.3,2.9,0.5,5.8,0.5,4.7,0.6,7.2,0.7,20.3,0.8,16.4,0.9,25.7,1.2,20,0.7,19.2,1,21,1,20.7,0.8,20.5,0.9,20.9,1.2,13.5,0.6,15,0.8,11.3,1,4.5,0.3,5.2,0.4,3.7,0.5,6.3,0.4,7.8,0.6,4.1,0.4,6.8,0.4,9.4,0.6,3.2,0.5,(X),(X),39916,720,31161,460,47721,1019,54397,1632,38663,1141,30727,311,35986,606,25465,416,20961,595,23176,1358,15918,1053,25749,456,30959,540,20600,540,29634,978,37120,1441,23555,934,43020,1821,51112,989,37963,1608,55818,1614,71117,1725,48310,1781,18,(X),(X),(X),(X),(X)
0400000US06,6,California,19566697,36359,10572398,25521,8994299,29560,31232,97,35902,173,26387,175,11930534,44733,7077748,27173,4852786,28971,1.9,0.1,1.7,0.1,2.3,0.1,4.2,0.1,3.6,0.1,5.1,0.2,14.9,0.2,14.1,0.2,16.1,0.3,13.9,0.2,13.3,0.2,14.8,0.2,17.3,0.2,16.3,0.2,18.9,0.3,13.5,0.1,13.2,0.2,13.8,0.2,6.3,0.1,6.2,0.1,6.4,0.1,10.8,0.1,11,0.2,10.5,0.2,17.2,0.2,20.6,0.2,12.2,0.2,(X),(X),50539,152,42486,330,65748,280,72098,406,56486,331,36900,135,41796,159,31489,150,19839,231,22754,304,15017,242,27664,410,31818,222,22447,274,36015,232,42235,272,30539,201,55900,541,66449,679,48016,856,77653,1157,95668,1537,65239,727,20.8,(X),(X),(X),(X),(X)
0400000US08,8,Colorado,3029062,10563,1628333,8229,1400729,8100,32379,218,38318,804,27667,710,1899872,15224,1119192,9773,780680,10854,1.9,0.2,1.8,0.2,2.1,0.2,3.4,0.2,2.9,0.3,4.1,0.4,12.2,0.4,10.7,0.5,14.2,0.6,14.8,0.4,13.8,0.6,16.4,0.7,21.3,0.5,19.1,0.6,24.4,0.9,15.4,0.5,15.4,0.6,15.2,0.6,6.9,0.3,7,0.4,6.7,0.5,10.5,0.3,11.8,0.4,8.6,0.5,13.7,0.4,17.5,0.5,8.3,0.5,(X),(X),50898,348,41690,380,61876,743,69082,1073,51546,830,39341,481,45439,449,32516,664,23004,984,26653,778,16282,923,30568,372,34983,1217,24711,1078,35329,491,41333,513,30074,663,48818,1444,60936,808,40656,565,64861,2028,81304,1333,52151,905,19.6,(X),(X),(X),(X),(X)
0400000US09,9,Connecticut,2001046,10392,1033981,7215,967065,7399,38443,922,45271,768,31711,377,1215225,12350,697824,9234,517401,7661,1.3,0.2,1.2,0.2,1.4,0.3,1.8,0.2,1.4,0.2,2.3,0.3,8.1,0.4,7.2,0.5,9.4,0.6,11.9,0.5,10.3,0.7,14.2,0.8,18.7,0.6,16.9,0.8,21.1,0.9,16.2,0.5,16.2,0.6,16.3,0.8,8.2,0.4,7.9,0.5,8.7,0.5,13.3,0.5,13.5,0.7,13.1,0.7,20.4,0.6,25.4,0.8,13.5,0.7,(X),(X),61385,530,50706,589,79199,1246,90428,1917,64054,1456,45481,575,52055,461,38473,1201,22153,1145,26413,1125,17988,1326,32916,1404,40839,692,26644,605,40502,589,47940,2110,34056,1832,61087,915,74544,3468,49762,1951,76885,1332,99929,3906,65541,1299,20.1,(X),(X),(X),(X),(X)
0400000US10,10,Delaware,494290,5530,249144,3694,245146,4045,32825,1493,37458,1904,29938,1336,315362,5919,169143,3966,146219,4799,1.4,0.4,1.3,0.4,1.6,0.6,3.2,0.5,2.6,0.6,3.9,0.9,10.9,1,9.8,1.2,12.2,1.4,17,1.2,14.9,1.6,19.3,1.6,21.7,1.4,18.8,1.5,25.1,2.2,15.7,1.1,17.1,1.5,14.1,1.5,6.9,0.7,7.6,1.1,6,0.9,11.1,1,12.5,1.4,9.5,1.3,12,0.9,15.4,1.4,8.1,1.1,(X),(X),50976,779,41278,1153,58701,1538,65666,2625,50644,1438,39259,1529,45521,1486,35182,1058,24636,1910,29092,2424,18253,4209,31910,980,37008,2251,26418,1100,35851,973,41501,1049,31699,1006,51577,1437,62873,4668,46103,1923,62490,4310,74040,7191,52506,4430,24.2,(X),(X),(X),(X),(X)
0400000US11,11,District of Columbia,393589,5064,190095,3319,203494,3857,46000,1356,50409,1261,42061,1333,263746,6133,133699,4124,130047,3964,1.6,0.4,2,0.7,1.1,0.5,1.8,0.4,1.5,0.6,2.1,0.7,6.1,0.8,6.6,1.1,5.5,0.9,10.4,1.3,8.1,1.4,12.7,1.8,16,1.3,16.2,2.1,15.8,1.6,14.4,1.1,13.5,1.5,15.3,1.6,6.8,0.9,6,1.1,7.5,1.2,14.9,1.1,14.6,1.4,15.3,1.4,28.2,1.6,31.5,2,24.7,1.8,(X),(X),68932,5045,61718,1394,85816,2454,92181,3536,79273,3131,55123,2155,59306,3628,51579,1283,23181,4318,23510,4182,22385,6352,28125,1792,29858,3438,27194,1993,38724,2968,40327,3282,36841,4496,62475,2892,70975,3046,55980,2524,88605,4894,99987,5233,79084,3700,23.2,(X),(X),(X),(X),(X)
