id,state,abbr,income,obesity
1,Alabama,AL,26934,33.5
2,Alaska,AK,36843,29.7
4,Arizona,AZ,29737,28.9
5,Arkansas,AR,26367,35.9
6,California,CA,31232,24.7
8,Colorado,CO,32379,21.3
9,Connecticut,CT,38443,26.3
10,Delaware,DE,32825,30.7
11,District of Columbia,DC,46000,21.7
12,Florida,FL,27250,26.2
13,Georgia,GA,29939,30.5
15,Hawaii,HI,33473,22.1
16,Idaho,ID,25145,28.9
17,Illinois,IL,31994,29.3
18,Indiana,IN,28977,32.7
19,Iowa,IA,30846,30.9
20,Kansas,KS,30384,31.3
21,Kentucky,KY,26828,31.6
22,Louisiana,LA,29486,34.9
23,Maine,ME,27813,28.2
24,Maryland,MD,40107,29.6
25,Massachusetts,MA,37702,23.3
26,Michigan,MI,28204,30.7
27,Minnesota,MN,33720,27.6
28,Mississippi,MS,26631,35.5
29,Missouri,MO,28875,30.2
30,Montana,MT,25614,26.4
31,Nebraska,NE,30041,30.2
32,Nevada,NV,30229,27.7
33,New Hampshire,NH,35231,27.4
34,New Jersey,NJ,38893,26.9
35,New Mexico,NM,25736,28.4
36,New York,NY,34308,27
37,North Carolina,NC,28248,29.7
38,North Dakota,ND,32022,32.2
39,Ohio,OH,30134,32.6
40,Oklahoma,OK,28548,33
41,Oregon,OR,27367,27.9
42,Pennsylvania,PA,31524,30.2
44,Rhode Island,RI,31319,27
45,South Carolina,SC,26752,32.1
46,South Dakota,SD,29003,29.8
47,Tennessee,TN,26976,31.2
48,Texas,TX,30284,31.9
49,Utah,UT,27449,25.7
50,Vermont,VT,30277,24.8
51,Virginia,VA,35108,28.5
53,Washington,WA,33176,27.3
54,West Virginia,WV,27023,35.7
55,Wisconsin,WI,30618,31.2
56,Wyoming,WY,30822,29.5
72,Puerto Rico,PR,16669,28.3
